Fri Sep 11 06:37:06 2020 Fold 2, Epoch 4, lr: 0.0002965, train loss: 0.45014, valid loss: 0.50303, acc: 77.2013, auc: 0.766490, auc_no_ext: 0.766490.
Fri Sep 11 06:40:09 2020 Fold 2, Epoch 5, lr: 0.0002921, train loss: 0.44855, valid loss: 0.44787, acc: 81.6038, auc: 0.788976, auc_no_ext: 0.788976.
Fri Sep 11 06:43:11 2020 Fold 2, Epoch 6, lr: 0.0002861, train loss: 0.42669, valid loss: 0.44754, acc: 82.2327, auc: 0.792244, auc_no_ext: 0.792244.
Fri Sep 11 06:46:14 2020 Fold 2, Epoch 7, lr: 0.0002785, train loss: 0.41635, valid loss: 0.42008, acc: 81.6038, auc: 0.834390, auc_no_ext: 0.834390.
Fri Sep 11 06:49:17 2020 Fold 2, Epoch 8, lr: 0.0002694, train loss: 0.41510, valid loss: 0.45495, acc: 79.0881, auc: 0.820614, auc_no_ext: 0.820614.
Fri Sep 11 06:52:19 2020 Fold 2, Epoch 9, lr: 0.0002589, train loss: 0.41370, valid loss: 0.45704, acc: 78.4591, auc: 0.825418, auc_no_ext: 0.825418.
Fri Sep 11 06:55:22 2020 Fold 2, Epoch 10, lr: 0.0002471, train loss: 0.39028, valid loss: 0.42454, acc: 83.0189, auc: 0.817360, auc_no_ext: 0.817360.
Fri Sep 11 06:58:25 2020 Fold 2, Epoch 11, lr: 0.0002342, train loss: 0.39315, valid loss: 0.40240, acc: 83.4906, auc: 0.829378, auc_no_ext: 0.829378.
Fri Sep 11 07:01:27 2020 Fold 2, Epoch 12, lr: 0.0002203, train loss: 0.36701, valid loss: 0.45447, acc: 82.5472, auc: 0.783881, auc_no_ext: 0.783881.
Fri Sep 11 07:04:30 2020 Fold 2, Epoch 13, lr: 0.0002055, train loss: 0.35676, valid loss: 0.42631, acc: 82.7044, auc: 0.829143, auc_no_ext: 0.829143.
Fri Sep 11 07:07:32 2020 Fold 2, Epoch 14, lr: 0.0001901, train loss: 0.35436, valid loss: 0.44745, acc: 83.0189, auc: 0.841673, auc_no_ext: 0.841673.
Fri Sep 11 07:10:35 2020 Fold 2, Epoch 15, lr: 0.0001743, train loss: 0.34694, valid loss: 0.41556, acc: 83.6478, auc: 0.846450, auc_no_ext: 0.846450.
Fri Sep 11 07:13:37 2020 Fold 2, Epoch 16, lr: 0.0001581, train loss: 0.33600, valid loss: 0.46024, acc: 83.8050, auc: 0.840870, auc_no_ext: 0.840870.
Fri Sep 11 07:16:40 2020 Fold 2, Epoch 17, lr: 0.0001419, train loss: 0.33602, valid loss: 0.40052, acc: 84.7484, auc: 0.843016, auc_no_ext: 0.843016.
Fri Sep 11 07:19:43 2020 Fold 2, Epoch 18, lr: 0.0001257, train loss: 0.32683, valid loss: 0.43963, acc: 83.8050, auc: 0.844692, auc_no_ext: 0.844692.
Fri Sep 11 07:22:45 2020 Fold 2, Epoch 19, lr: 0.0001099, train loss: 0.30367, valid loss: 0.44738, acc: 83.0189, auc: 0.842850, auc_no_ext: 0.842850.
Fri Sep 11 07:25:48 2020 Fold 2, Epoch 20, lr: 0.0000945, train loss: 0.30584, valid loss: 0.45763, acc: 84.5912, auc: 0.818924, auc_no_ext: 0.818924.
